Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR1220/1225,BF@BatteryHolder_Takachi_SMTM1225,31,9,0,top
C1,100n,BF@C_0603_1608Metric,23.25,21,0,top
C2,15p,BF@C_0603_1608Metric,30,21,180,top
C3,30p,C_Trimmer_Murata_TZC3,35,25,90,top
D1,1N4148,BF@D_SOD-123,18,18,180,top
D2,1N4148,BF@D_SOD-123,18,14,180,top
J1,M-BUS,BF@M5Stack_MBUS,6,25,0,top
R1,10k,BF@R_0603_1608Metric,23.25,30,0,top
R2,10k,BF@R_0603_1608Metric,23.25,32,0,top
SW1,SW_DIP_x04,BF@SW_DIP_SPSTx04_Slide_XKB_DSHP04TS-S_W7.62mm_P1.27mm,25,39,270,top
U2,PCF8563T,SOIC-8_3.9x4.9mm_P1.27mm,25,24.824999,90,top
Y1,32768Hz,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,31,24,90,top
